"TaskName","TaskPriority","TaskQuestion","TaskShortDescription","TaskDetails"
"CA-RDA-R1.2-01MM","Essential","Metadata of model includes provenance information according to community-specific standards","This indicator requires the model metadata to include inf ormation about the provenance of the data, i.e. information about the origin, history or workflow that generated the data, in a way that is compliant with the standards that are used in the community for which the data is curated","The indicator can be evaluated by verifying that the provenance informationf ollows the community standard. A RDA-endorsed service like FAIRsharingcould be helpful to identify the relevant standards."
"CA-RDA-R1.2-02MA","Useful","Metadata of archive includes provenance information according to a cross-community language","This indicator requires that the archive metadata provides provenance inf ormation according to a cross-domainlanguage.","The indicator can be evaluated by assessing whether a cross-domain language is used f or provenance information (such as PROV-O)"
"CA-RDA-R1.2-02MM","Useful","Metadata of model includes provenance information according to a cross-community language","This indicator requires that the model metadata provides provenance inf ormation according to a cross-domainlanguage.","The indicator can be evaluated by assessing whether a cross-domain language is used f or provenance information (such as PROV-O)"
"CA-RDA-R1.3-01Archive","Essential","Archive complies with a community standard","This indicator requires that the archive complies with community standards.","The indicator can be evaluated by verif ying that the metadata f ollows a community standard. A service like the RDA-endorsed FAIRsharing or the Metadata Standards Catalogcould be helpful to identify the relevant standards"
"CA-RDA-R1.3-01Model","Essential","Model complies with a community standard","This indicator requires that the model complies with community standards.","The indicator can be evaluated by verif ying that the metadata f ollows a community standard. A service like the RDA-endorsed FAIRsharing or the Metadata Standards Catalogcould be helpful to identify the relevant standards"
"CA-RDA-R1.3-01MA","Essential","Metadata of archive complies with a community standard","This indicator requires that the archive metadata complies with community standards.","The indicator can be evaluated by verif ying that the metadata f ollows a community standard. A service like the RDA-endorsed FAIRsharing or the Metadata Standards Catalogcould be helpful to identify the relevant standards"
"CA-RDA-R1.3-01MM","Essential","Metadata of model complies with a community standard","This indicator requires that the model metadata complies with community standards.","The indicator can be evaluated by verif ying that the metadata f ollows a community standard. A service like the RDA-endorsed FAIRsharing or the Metadata Standards Catalogcould be helpful to identify the relevant standards"
"CA-RDA-R1.3-02Archive","Essential","Archive is expressed in compliance with a machine-understandable community standard","This indicator requires that the archive follows a community standard that has a machine-understandable expression","This indicator can be evaluated by verifying that the community standard used f or the metadata has a machine-understandable expression"
"CA-RDA-R1.3-02Model","Essential","Model is expressed in compliance with a machine-understandable community standard","This indicator requires that the model follows a community standard that has a machine-understandable expression","This indicator can be evaluated by verifying that the community standard used f or the metadata has a machine-understandable expression"
"CA-RDA-R1.3-02MA","Essential","Metadata of archive is expressed in compliance with a machine-understandable community standard","This indicator requires that the archive metadata follows a community standard that has a machine-understandable expression","This indicator can be evaluated by verifying that the community standard used f or the metadata has a machine-understandable expression"
"CA-RDA-R1.3-02MM","Essential","Metadata of model is expressed in compliance with a machine-understandable community standard","This indicator requires that the model metadata follows a community standard that has a machine-understandable expression","This indicator can be evaluated by verifying that the community standard used f or the metadata has a machine-understandable expression"
"CA-RDA-R1.3-03MA","Important","Metadata of archive is expressed in compliance with a machine-understandable cross-community standard","This indicator requires that the archive metadata follows a cross-community standard that has a machine-understandable expression","This indicator can be evaluated by verifying that the cross-community standard used f or the metadata has a machine-understandable expression"
"CA-RDA-R1.3-03MM","Important","Metadata of model is expressed in compliance with a machine-understandable cross-community standard","This indicator requires that the model metadata follows a cross-community standard that has a machine-understandable expression","This indicator can be evaluated by verifying that the cross-community standard used f or the metadata has a machine-understandable expression"

"CSH-RDA-F1-01M","Essential","Metadata is identified by a persistent identifier","This indicator examines whether the metadata for the resource uploaded to the NFDI4Health study hub is assigned a persistent identifier. The use of a persistent identifier is crucial as it ensures the long-term findability of this specific metadata, significantly reducing the likelihood of encountering broken links and enhancing the resource's accessibility over time","The CSH demands an ID (resource.identifier) when uploading metadata. It can be generated by the study hub or entered based on a schema, such as DOI and DRKS. Thus the indicator is implicitly passed."
"CSH-RDA-F1-02M","Essential","Metadata is identified by a globally unique identifier","The identifier used for the metadata is listed in a registry service","The CSH demands an ID (resource.identifier) when uploading metadata. It can be generated by the study hub or entered based on a schema, such as DOI and DRKS. Thus the indicator is implicitly passed."
"CSH-RDA-F2-01M","Essential","Rich metadata is provided to allow discovery","The repository provides evidence that resource discovery metadata is sufficient for their designated community of users","Check if the mandatory attributes exist and have, if applicable, allowed values."
"CSH-RDA-F3-01M","Essential","Metadata includes the identifier for the data","The indicator deals with the inclusion of the reference (i.e. the identifier) of the resources in the metadata so that the resources can be accessed. The FAIR principle F3, which emphasizes that metadata should clearly and explicitly include the identifier of the data they describe, is broadly applicable to any type of resource that can be distinctly identified and referenced. This principle ensures that each piece of metadata is directly linked to its corresponding data or document, thereby enhancing the findability and accessibility of research resources.","Check if the list of resource ids contains an identifier that either has the relation “A describes B” or “A is metadata for B”. Also evaluate if the provided identifier follows an commonly accepted identifier scheme and is registered."
"CSH-RDA-F4-01M","Essential","Metadata is offered in such a way that it can be harvested and indexed","This metric pertains to the methods by which metadata is made accessible or delivered in a standardized and machine-readable format. To evaluate this metric, it is essential to grasp the functionalities provided by the data repository hosting the data. Metadata might be accessible through various channels. For instance, when resource is stored in a repository, this repository could distribute its metadata via a metadata harvesting protocol (such as OAI-PMH) and/or a web service.","This is a general indicator that has to be evaluated for the CSH as a platform. Metadata can be retrieved in a JSON format. The landing page provides a link in the footer that leads to the API. Thus, this indicator is implicitly passed."
"CSH-RDA-A1-01M","Important","Metadata contains information to enable the user to get access to the data or resources.","The indicator refers to the information that is necessary to allow the requester to gain access to the digital object. It is (i) about whether there are restrictions to access the data (i.e. access to the data may be open, restricted or closed), (ii) the actions to be taken by a person who is interested to access the data, in particular when the data has not been published on the Web and (iii) specifications that the resources are available through.","Check if the attribute chain design.dataSharingPlan.generally results in the value “Yes, there is a plan to share the ressource”. Beyond that, it is not feasible to evaluate the free text automatically. Thus, it is not possible to fully evaluate if this indicator can pass without human interaction."

"CSH-RDA-A1-03M","Essential","Metadata identifier resolves to a metadata record","This metric pertains to the clarity of the metadata identifier. The identifier given to the metadata must be linked to a resolution service that facilitates access to the metadata document.The indicator refers to any human interactions that are needed if the requester wants to access the digital object. This FAIR principle refers mostly to automated interactions where a machine is able to access the digital object, but there may also be digital objects that require human interactions, such as clicking on a link on a landing page, sending an e-mail to the data owner, or even calling by telephone.","In general the CSH provides the option to search for metadata based on its identifier. For sets that uploaded a check if the resource.identifier resolves via the logical URL. This indicator cannot be evaluated, if the FAIRness is evaluated during the creation of the metadata set. In this case the indicator is set as not applicable."
"CSH-RDA-A1-04M","Essential","Metadata is accessed through standardised protocol","In general the CSH provides the option to search for metadata based on its identifier. For sets that uploaded a check if the resource.identifier resolves via the logical URL. This indicator cannot be evaluated, if the FAIRness is evaluated during the creation of the metadata set. In this case the indicator is set as not applicable.","In general the CSH provides the option to search for metadata based on its identifier. For sets that uploaded a check if the resource.identifier resolves via the logical URL. This indicator cannot be evaluated, if the FAIRness is evaluated during the creation of the metadata set. In this case the indicator is set as not applicable."
"CSH-RDA-A1.1-01M","Essential","Metadata is accessible through a free access protocol","In general the CSH provides the option to search for metadata based on its identifier. For sets that uploaded a check if the resource.identifier resolves via the logical URL. This indicator cannot be evaluated, if the FAIRness is evaluated during the creation of the metadata set. In this case the indicator is set as not applicable.","In general the CSH provides the option to search for metadata based on its identifier. For sets that uploaded a check if the resource.identifier resolves via the logical URL. This indicator cannot be evaluated, if the FAIRness is evaluated during the creation of the metadata set. In this case the indicator is set as not applicable."
"CSH-RDA-A2-01M","Essential","Metadata is guaranteed to remain available after data is no longer available","In general the CSH provides the option to search for metadata based on its identifier. For sets that uploaded a check if the resource.identifier resolves via the logical URL. This indicator cannot be evaluated, if the FAIRness is evaluated during the creation of the metadata set. In this case the indicator is set as not applicable.","In general the CSH provides the option to search for metadata based on its identifier. For sets that uploaded a check if the resource.identifier resolves via the logical URL. This indicator cannot be evaluated, if the FAIRness is evaluated during the creation of the metadata set. In this case the indicator is set as not applicable."
"CSH-RDA-I1-01M","Important","Metadata uses knowledge representation expressed in standardised format","The indicator serves to determine that an appropriate standard is used to express knowledge, for example, controlled vocabularies for subject classifications.","This is a general question. For each attribute the allowed values should be checked whether they adhere to a fitting vocabulary."
"CSH-RDA-I1-02M","Important","Metadata uses machine-understandable knowledge representation","This is a general question. For each attribute the allowed values should be checked whether they adhere to a fitting vocabulary.","Generally the CSH exports a metadata object as an JSON object upon API request. Thus, this indicator implicitly passes."
"CSH-RDA-I2-01M","Important","Metadata uses FAIR-compliant vocabularies","The indicator requires the vocabulary used for the metadata to conform to the FAIR principles, and at least be documented and resolvable using globally unique and persistent identifiers. The documentation needs to be easily findable and accessible.","Implicitly fulfilled for every resource registered in the CHSH (FHIR representation in SIMPLIFIER)"
"CSH-RDA-I3-01M","Important","Metadata includes references to other metadata","The indicator is about the way that metadata is connected to other metadata, for example through links to information about organizations, people, places, projects or time periods that are related to the digital object that the metadata describes.","Implement a check if identifier with a fitting relation type are resolvable for the registry of the specific scheme. Allowed schemes are DOI, URL, arXiv, EAN13, EISSN, Handle, ISBN, ISTC and LISSN. Most likely not all schemas can be used for metadata."
"CSH-RDA-I3-02M","Useful","Metadata includes references to other data","This indicator examines how metadata interlinks with additional data sources to enhance its context, such as connections to preceding or related research data.","Implement a check if identifiers with a fitting relation type are resolvable for the registry of the specific scheme. Allowed schemes are DOI, URL, arXiv, EAN13, EISSN, Handle, ISBN, ISTC and LISSN."
"CSH-RDA-I3-03M","Important","Metadata includes qualified references to other metadata","This measure focuses on how metadata links to additional metadata, such as descriptions of associated resources that offer further insight into the data. The connections must be explicitly defined, indicating the nature of the relationship with the related resource, such as specifying that person Y authored dataset X.","Implement a check if identifiers with a fitting relation type are resolvable for the registry of the specific scheme. Allowed schemes are DOI, URL, arXiv, EAN13, EISSN, Handle, ISBN, ISTC and LISSN."
"CSH-RDA-I3-04M","Useful","Metadata includes qualified references to other data","This indicator is about the way metadata is connected to other data, for example linking to previous or related research data that provides additional context to the data. Please note that this is not about the link from the metadata to the data it describes; that link is considered in principle F3 and in indicator RDA-F3-01M.","Implement a check if identifiers with a fitting relation type are resolvable for the registry of the specific scheme. Allowed schemes are DOI, URL, arXiv, EAN13, EISSN, Handle, ISBN, ISTC and LISSN."
"CSH-RDA-R1-01M","Essential","Plurality of accurate and relevant attributes are provided to allow reuse","The indicator concerns the quantity but also the quality of metadata provided in order to enhance data reusability.","Check the existence of all applicable attributes."
"CSH-RDA-R1.1-01M","Essential","Metadata includes information about the licence under which the data can be reused","This indicator is about the information that is provided in the metadata related to the conditions (e.g. obligations, restrictions) under which data can be reused. It about the presence of licensing information, making sure that anyone accessing the data understands the permissions and restrictions placed on the data by the data owner. Key Element: The presence of licensing information, but not necessarily in a standardized or machine-readable format.","Check the existence of all applicable attributes."
"CSH-RDA-R1.1-02M","Important","Metadata refers to a standard reuse licence","This indicator requires the reference to the conditions of reuse to be a standard license, rather than a locally defined license. This goes a step further by specifying that the license mentioned in the metadata should not be just any license, but a standard, widely recognized license. This ensures that the terms of use are well-understood and consistent, reducing ambiguity for users who want to reuse the data. Key Element: Use of a standard, widely-recognized license to ensure clarity and consistency in understanding the terms of reuse.","Check the label of the license whether it fits to the list above."
"CSH-RDA-R1.1-03M","Important","Metadata refers to a machine-understandable reuse licence","This indicator is about the way that the reuse license is expressed. Rather than being a human-readable text, the license should be expressed in such a way that it can be processed by machines, without human intervention, for example in automated searches. This is crucial for the automated processing of datasets, allowing software systems to understand and potentially enforce the licensing terms without human intervention. Key Element: The inclusion of license information in a format that can be understood and processed by machines, enabling automated systems to recognize and act on the licensing terms","Check whether the license refers to one of the following machine readable licenses: CC0 1.0, CC BY 4.0, CC BY-NC 4.0, CC BY-SA 4.0, CC BY-NC-SA 4.0"
"CSH-RDA-R1.2-01M","Important","Metadata includes provenance information according to community-specific standards","This indicator requires the metadata to include information about the provenance of the data, i.e. information about the origin, history or workflow that generated the data, in a way that is compliant with the standards that are used in the community in which the data is produced.","Check if the necessary attributes are provided in the metadata."
"CSH-RDA-R1.2-02M","Useful","Metadata includes provenance information according to a cross-community language","This indicator requires that the metadata provides provenance information according to a cross-domain language.","-"
"CSH-RDA-R1.3-01M","Essential","Metadata complies with a community standard","This indicator requires that metadata complies with community standards","The indicator addresses the general policy of the platform. Most likely it will implicitly pass."
"CSH-RDA-R1.3-02M","Essential","Metadata is expressed in compliance with a machine-understandable community standard","This indicator requires that the metadata follows a community standard that has a machine-understandable expression.","Generally, the CSH provides an export of the metadata in FHIR format. Thus, this indicator implicitly passes."
